x_slam y_slam yaw_imu x_odom y_odom
6.85 5.6 1.12314 0.419738 0.698305
6.85 5.6 1.14152 0.42906 0.71803
6.9 5.65 1.16106 0.439366 0.741004
6.9 5.65 1.19118 0.445077 0.754412
6.9 5.65 1.23126 0.4542 0.777907
6.9 5.7 1.27104 0.461155 0.798413
6.9 5.7 1.30837 0.467266 0.818995
6.9 5.7 1.34873 0.473409 0.843403
6.95 5.75 1.38896 0.476421 0.857574
6.95 5.75 1.4291 0.480748 0.882402
6.95 5.75 1.46635 0.483924 0.907215
6.95 5.8 1.50612 0.485256 0.921657
6.95 5.8 1.54601 0.486655 0.94685
6.95 5.8 1.58634 0.486917 0.968479
6.95 5.85 1.62378 0.486162 0.993467
6.95 5.85 1.66373 0.484603 1.01504
6.95 5.95 1.70366 0.482642 1.03301
6.95 5.95 1.74361 0.479503 1.05445
6.95 5.95 1.78559 0.474816 1.07899
6.95 6 1.82615 0.470693 1.09652
6.95 6 1.86627 0.463942 1.12079
6.95 6.05 1.90635 0.458404 1.138
6.95 6.05 1.9456 0.451035 1.15832
6.95 6.1 1.98541 0.441438 1.18163
6.95 6.1 2.03522 0.432367 1.20105
6.95 6.15 2.0955 0.423966 1.21687
6.95 6.15 2.15468 0.412908 1.23518
6.9 6.2 2.21454 0.400749 1.25285
6.9 6.2 2.25644 0.390329 1.26637
6.9 6.2 2.25628 0.390081 1.26667
6.9 6.2 2.25615 0.389027 1.26796
6.9 6.2 2.25603 0.387029 1.27041
6.9 6.2 2.25586 0.384485 1.27352
6.9 6.25 2.2558 0.381428 1.27726
6.9 6.25 2.25643 0.377466 1.28211
6.9 6.25 2.2656 0.369912 1.29132
6.9 6.25 2.2892 0.358238 1.30497
6.85 6.25 2.26243 0.349194 1.3155
6.85 6.25 2.26137 0.328815 1.34011
6.85 6.3 2.26479 0.307569 1.36581
6.85 6.3 2.26418 0.27903 1.39997
6.8 6.35 2.26395 0.25189 1.43264
6.8 6.35 2.27022 0.228446 1.46081
6.8 6.35 2.29302 0.200113 1.49407
6.75 6.4 2.33182 0.170855 1.5265
6.75 6.4 2.37129 0.140445 1.55765
6.75 6.4 2.42128 0.108747 1.58759
6.7 6.5 2.51197 0.0756373 1.61509
6.7 6.5 2.62379 0.0400412 1.63921
6.6 6.6 2.75362 -0.00438026 1.66162
6.6 6.6 2.89408 -0.0380831 1.67323
6.6 6.6 3.03345 -0.0798492 1.68184
6.5 6.65 -3.10985 -0.122487 1.68454
6.5 6.65 -2.97056 -0.165028 1.68131
6.4 6.65 -2.83045 -0.206738 1.67216
6.4 6.65 -2.69063 -0.24676 1.65729
6.3 6.65 -2.5647 -0.284499 1.63713
6.3 6.65 -2.44457 -0.319525 1.61254
6.3 6.65 -2.32666 -0.351327 1.58377
6.25 6.65 -2.22282 -0.37975 1.55149
6.25 6.65 -2.12324 -0.404744 1.51649
6.15 6.55 -2.02337 -0.426168 1.47912
6.15 6.55 -1.9238 -0.446279 1.4332
6.1 6.5 -1.82881 -0.455394 1.40581
6.1 6.5 -1.74972 -0.467344 1.3569
6.05 6.4 -1.6696 -0.473948 1.31417
6.05 6.4 -1.6013 -0.477171 1.27096
6.05 6.4 -1.58647 -0.47813 1.2272
6.05 6.3 -1.62078 -0.479122 1.18304
6.05 6.3 -1.70746 -0.482502 1.1384
6 6.2 -1.84833 -0.490564 1.0942
6 6.2 -2.04686 -0.505783 1.0512
6 6.1 -2.29095 -0.529617 1.01224
6 6.1 -2.527 -0.558557 0.983463
6 6 -2.68226 -0.574585 0.973107
6 6 -2.69178 -0.578165 0.971334
5.95 5.95 -2.69211 -0.579975 0.97046
5.95 5.95 -2.69243 -0.581785 0.969588
5.95 5.95 -2.69263 -0.584144 0.96845
5.95 5.95 -2.69287 -0.587755 0.966711
5.95 5.95 -2.69304 -0.591958 0.964688
5.95 5.95 -2.68318 -0.596247 0.962614
5.95 5.95 -2.63119 -0.602833 0.959245
5.95 5.95 -2.60044 -0.616815 0.951064
5.9 5.95 -2.60043 -0.633191 0.94122
5.9 5.95 -2.61434 -0.656111 0.927532
5.9 5.95 -2.60889 -0.684013 0.911302
5.9 5.95 -2.60412 -0.716413 0.892064
5.85 5.9 -2.61361 -0.753276 0.870213
5.85 5.9 -2.6327 -0.791489 0.848235
5.75 5.85 -2.65473 -0.830192 0.826964
5.75 5.85 -2.68992 -0.869439 0.806703
5.7 5.8 -2.72986 -0.916288 0.784897
5.7 5.8 -2.7697 -0.950397 0.770656
5.6 5.8 -2.823 -0.992028 0.755154
5.6 5.8 -2.88268 -1.04162 0.740108
5.55 5.75 -2.95101 -1.07062 0.733041
5.55 5.75 -3.03059 -1.12193 0.724157
5.55 5.75 -3.11047 -1.16641 0.720342
5.45 5.7 3.08783 -1.21114 0.720119
5.45 5.7 2.9914 -1.25573 0.723927
5.35 5.7 2.88709 -1.29973 0.732164
5.35 5.7 2.77874 -1.34279 0.744901
5.25 5.7 2.65892 -1.38427 0.762498
5.25 5.7 2.53732 -1.42321 0.784869
5.15 5.75 2.4175 -1.45927 0.811865
5.15 5.75 2.28265 -1.49178 0.84315
5.05 5.8 2.14204 -1.51969 0.878584
5.05 5.8 2.00202 -1.54563 0.924405
5 5.85 1.86256 -1.56169 0.966632
5 5.85 1.72218 -1.5705 1.00333
4.95 5.95 1.58266 -1.57532 1.04824
4.95 5.95 1.44265 -1.57298 1.10086
4.95 6 1.30121 -1.56422 1.14504
4.95 6 1.16044 -1.55213 1.18076
4.95 6 0.997457 -1.53301 1.21996
4.95 6.1 0.772272 -1.51852 1.23957
4.95 6.1 0.694258 -1.51056 1.24696
4.95 6.1 0.697829 -1.50889 1.24835
5 6.2 0.719711 -1.5075 1.24953
5 6.2 0.758302 -1.50625 1.25063
5 6.2 0.798744 -1.50404 1.25277
5 6.2 0.839063 -1.50194 1.25496
5 6.2 0.879221 -1.49905 1.25823
5 6.2 0.912827 -1.4946 1.26375
5 6.2 0.90942 -1.48717 1.27335
5 6.2 0.936631 -1.47831 1.2849
5 6.25 0.976475 -1.46459 1.30407
5 6.25 1.01626 -1.44873 1.32823
5 6.25 1.05223 -1.43502 1.35079
5.05 6.25 1.09215 -1.41297 1.39034
5.05 6.25 1.13129 -1.39347 1.42911
5.05 6.25 1.17149 -1.3726 1.47542
5.1 6.35 1.19963 -1.36151 1.50253
5.1 6.35 1.21519 -1.34322 1.55015
5.1 6.35 1.21521 -1.32791 1.59138
5.15 6.45 1.21425 -1.31006 1.63934
5.15 6.45 1.20096 -1.29973 1.66699
5.15 6.45 1.13576 -1.28037 1.71499
5.2 6.6 1.01976 -1.26012 1.755
5.2 6.6 0.86499 -1.22978 1.79818
5.25 6.7 0.684976 -1.20881 1.82021
5.25 6.7 0.487038 -1.16622 1.85184
5.3 6.8 0.268652 -1.12436 1.87047
5.3 6.8 0.0334804 -1.07957 1.87929
5.35 6.85 -0.16895 -1.04936 1.87869
5.35 6.85 -0.232816 -1.03962 1.87684
5.45 6.85 -0.229199 -1.0377 1.87638
5.45 6.85 -0.208959 -1.03592 1.87598
5.45 6.85 -0.188716 -1.03385 1.87555
5.45 6.85 -0.16851 -1.03266 1.87533
5.45 6.85 -0.149217 -1.03061 1.87498
5.45 6.85 -0.144411 -1.02969 1.87484
5.45 6.85 -0.149229 -1.02834 1.87465
5.45 6.85 -0.139936 -1.02563 1.87424
5.45 6.85 -0.120244 -1.02095 1.87362
5.45 6.85 -0.101282 -1.01461 1.8729
5.45 6.85 -0.0816603 -1.00211 1.87171
5.45 6.85 -0.0619026 -0.98424 1.87037
5.45 6.85 -0.0420308 -0.9566 1.86889
5.45 6.85 -0.0140253 -0.928813 1.8681
5.5 6.85 0.0269733 -0.903613 1.86815
5.5 6.85 0.0832875 -0.870727 1.86961
5.6 6.85 0.141027 -0.835853 1.87316
5.6 6.85 0.204462 -0.793167 1.88038
5.65 6.85 0.263899 -0.760982 1.88787
