x_slam y_slam yaw_imu x_odom y_odom
8.3 5.55 -0.333676 -0.58532 0.529471
8.3 5.55 -0.291149 -0.548149 0.517195
8.35 5.5 -0.235072 -0.521417 0.509743
8.35 5.5 -0.175192 -0.488753 0.502492
8.45 5.5 -0.115365 -0.450235 0.496527
8.45 5.5 -0.0562749 -0.417016 0.493545
8.5 5.45 0.00376146 -0.383573 0.492551
8.5 5.45 0.0623356 -0.3502 0.493551
8.6 5.45 0.123867 -0.316888 0.496519
8.6 5.45 0.175087 -0.283744 0.501452
8.65 5.45 0.212104 -0.249894 0.508036
8.65 5.45 0.25413 -0.215283 0.516171
8.7 5.45 0.292868 -0.180594 0.525848
8.7 5.45 0.324442 -0.141522 0.53824
8.8 5.45 0.341412 -0.100194 0.552523
8.8 5.45 0.341132 -0.0587603 0.567239
8.85 5.45 0.334783 -0.0172881 0.581902
8.85 5.45 0.314788 0.0244536 0.596033
8.85 5.45 0.27756 0.066813 0.609102
8.95 5.5 0.236315 0.102514 0.618736
8.95 5.5 0.178903 0.145906 0.628487
8.95 5.5 0.118109 0.189793 0.635679
9.05 5.55 0.0594649 0.234094 0.640253
9.05 5.55 8.72045e-05 0.278519 0.642161
9.05 5.55 -0.0613898 0.323043 0.641419
9.2 5.55 -0.119938 0.367411 0.638031
9.2 5.55 -0.179974 0.418759 0.630708
9.2 5.55 -0.239876 0.462345 0.621573
9.3 5.6 -0.301269 0.498153 0.611953
9.3 5.6 -0.361166 0.540456 0.598026
9.3 5.6 -0.412653 0.588385 0.578844
9.45 5.6 -0.443953 0.628636 0.560455
9.45 5.6 -0.463672 0.668343 0.541143
9.45 5.6 -0.477717 0.70756 0.52112
9.5 5.55 -0.477368 0.740165 0.504247
9.5 5.55 -0.478344 0.779195 0.484056
9.5 5.55 -0.467761 0.824676 0.460597
9.55 5.5 -0.448092 0.863945 0.4412
9.55 5.5 -0.428717 0.903563 0.422565
9.6 5.4 -0.408271 0.943554 0.404728
9.6 5.4 -0.389332 0.983856 0.387689
9.65 5.4 -0.369044 1.02453 0.371426
9.65 5.4 -0.340661 1.06531 0.356149
9.7 5.35 -0.300775 1.1067 0.342295
9.7 5.35 -0.26034 1.14852 0.330138
9.75 5.3 -0.22146 1.19087 0.319612
9.75 5.3 -0.178675 1.23352 0.310819
9.85 5.3 -0.12022 1.27644 0.304187
9.85 5.3 -0.0605063 1.31972 0.300123
9.95 5.25 -0.00096744 1.35589 0.298704
9.95 5.25 0.0590591 1.39934 0.299391
9.95 5.25 0.120369 1.44262 0.302654
10 5.25 0.179166 1.49266 0.30974
10 5.25 0.240381 1.53519 0.318616
10.1 5.25 0.299872 1.57018 0.327953
10.1 5.25 0.359723 1.61819 0.343943
10.4 5.3 0.419637 1.65845 0.360321
10.4 5.3 0.48026 1.69754 0.379054
10.6 5.3 0.540235 1.73554 0.400151
10.6 5.3 0.600634 1.77213 0.42344
10.7 5.35 0.660734 1.80729 0.448934
10.7 5.35 0.720159 1.84087 0.476493
10.7 5.35 0.780779 1.8727 0.505976
10.75 5.4 0.840357 1.90272 0.537353
10.75 5.4 0.900125 1.93084 0.570475
11.65 5.05 0.960647 1.95688 0.605195
11.65 5.05 1.02122 1.98082 0.64141
11.65 5.05 1.02542 1.99446 0.664106
11.85 5.15 1.01596 1.99528 0.665446
11.85 5.15 1.01571 1.99512 0.665195
11.85 5.15 1.01553 1.99408 0.663523
11.9 5.2 1.01523 1.99304 0.661835
11.9 5.2 1.01498 1.98919 0.655642
11.9 5.2 1.01527 1.98169 0.643574
11.95 5.2 1.01976 1.97054 0.625573
11.95 5.2 1.03565 1.95745 0.603766
11.95 5.2 1.04549 1.94213 0.577842
11.9 5.15 1.07958 1.92528 0.547882
11.9 5.15 1.12433 1.90858 0.51514
11.9 5.15 1.18033 1.89175 0.478115
11.85 5.15 1.29857 1.87873 0.442908
11.85 5.15 1.45201 1.86722 0.391452
11.75 5.05 1.63224 1.86502 0.353518
11.75 5.05 1.84079 1.87025 0.308165
11.75 5.05 2.07068 1.88658 0.261859
11.75 4.95 2.31297 1.90032 0.241506
11.75 4.95 2.44333 1.91027 0.231838
11.8 4.85 2.45594 1.91293 0.229652
11.8 4.85 2.3876 1.91253 0.229982
11.8 4.85 2.25412 1.91159 0.230935
11.8 4.85 2.07221 1.90944 0.233971
11.8 4.85 1.78108 1.90831 0.236559
11.8 4.85 1.43242 1.90803 0.239622
11.8 4.85 1.03323 1.90882 0.242339
11.8 4.85 0.597439 1.91134 0.245378
11.8 4.85 0.302374 1.91509 0.247214
11.8 4.85 0.299483 1.91561 0.247379
11.8 4.85 0.299373 1.91563 0.247384
11.8 4.9 0.299272 1.91565 0.24739
11.8 4.9 0.299231 1.91643 0.247631
11.8 4.9 0.299129 1.91836 0.248227
11.8 4.9 0.299025 1.9203 0.248824
11.8 4.9 0.298921 1.92223 0.249421
11.8 4.9 0.298824 1.92417 0.250017
11.8 4.9 0.298742 1.92611 0.250614
11.8 4.9 0.298681 1.92805 0.251211
11.8 4.9 0.298644 1.92998 0.251807
11.8 4.9 0.29863 1.93192 0.252403
11.8 4.9 0.298637 1.93385 0.252998
11.8 4.9 0.298663 1.93578 0.253593
11.8 4.9 0.29871 1.93771 0.254186
11.8 4.9 0.298782 1.93964 0.254779
11.8 4.9 0.298894 1.94156 0.25537
11.8 4.9 0.300802 1.94335 0.255924
11.8 4.9 0.307897 1.94469 0.256341
11.8 4.9 0.314981 1.94602 0.256764
11.8 4.9 0.322052 1.94736 0.257202
11.8 4.9 0.324069 1.94875 0.257668
11.8 4.9 0.319211 1.95089 0.258388
11.8 4.9 0.297193 1.95297 0.259057
11.8 4.9 0.290459 1.95621 0.260035
11.8 4.9 0.280174 1.96312 0.262082
11.8 4.9 0.247261 1.97298 0.264795
11.8 4.9 0.206214 1.98305 0.267166
11.8 4.9 0.149422 1.99334 0.26911
11.8 4.9 0.0755627 2.00216 0.270265
11.8 4.9 -0.00656163 2.01463 0.270915
11.8 4.9 -0.0813617 2.02506 0.270569
11.8 4.9 -0.161188 2.03569 0.26938
11.8 4.9 -0.235883 2.04617 0.267357
11.8 4.9 -0.287314 2.0563 0.264692
11.8 4.9 -0.299833 2.05942 0.263766
11.8 4.9 -0.297272 2.05941 0.263768
11.85 4.9 -0.278124 2.05957 0.263719
11.85 4.9 -0.258131 2.06132 0.26323
11.85 4.9 -0.238173 2.06309 0.262772
11.85 4.9 -0.218707 2.06862 0.261482
11.85 4.9 -0.20021 2.08056 0.25893
11.85 4.9 -0.208387 2.09802 0.255413
11.85 4.9 -0.207431 2.12034 0.250541
11.85 4.9 -0.157806 2.14895 0.245058
11.9 4.9 -0.0913265 2.18059 0.240857
11.9 4.9 0.00628177 2.21516 0.238916
11.9 4.9 0.12769 2.25278 0.240994
12 4.9 0.244812 2.29243 0.247951
12 4.9 0.37038 2.33191 0.259772
12.15 4.85 0.525549 2.35021 0.267839
12.15 4.85 0.555454 2.35279 0.269354
12.2 4.9 0.555318 2.3546 0.27048
12.2 4.9 0.555273 2.35801 0.272593
12.2 4.9 0.554951 2.36155 0.274788
12.2 4.9 0.550779 2.36894 0.279356
12.2 4.9 0.529825 2.3798 0.285899
12.2 4.9 0.549642 2.39542 0.295208
12.2 4.9 0.549606 2.41577 0.307673
12.2 4.9 0.547511 2.44113 0.323189
12.2 4.9 0.545083 2.47784 0.345495
12.2 4.9 0.545123 2.51545 0.368305
12.3 4.95 0.545301 2.55304 0.391096
12.3 4.95 0.545421 2.59062 0.413894
12.35 5 0.53017 2.62845 0.436618
12.35 5 0.498377 2.66673 0.458511
12.45 5.05 0.458329 2.70603 0.479099
12.45 5.05 0.418416 2.74603 0.498063
12.45 5.05 0.37835 2.78683 0.515441
12.5 5.1 0.339053 2.82137 0.528681
12.5 5.1 0.298713 2.86331 0.543031
12.6 5.15 0.258334 2.91284 0.557611
12.6 5.15 0.22032 2.95586 0.568302
12.65 5.15 0.248235 2.98431 0.574801
12.65 5.15 0.264806 2.98744 0.5756
12.75 5.2 0.264586 2.98745 0.575602
12.75 5.2 0.264366 2.98745 0.575604
12.75 5.2 0.264145 2.98746 0.575605
12.75 5.2 0.263925 2.98747 0.575607
12.75 5.2 0.263704 2.98747 0.575608
12.75 5.2 0.263482 2.98748 0.57561
12.75 5.2 0.263261 2.98748 0.575612
12.75 5.2 0.263039 2.98749 0.575613
12.75 5.2 0.262817 2.9875 0.575615
12.75 5.2 0.262594 2.9875 0.575617
12.75 5.2 0.262372 2.98751 0.575618
12.75 5.2 0.262149 2.98751 0.57562
12.75 5.2 0.261926 2.98752 0.575622
12.75 5.2 0.261703 2.98753 0.575623
12.75 5.2 0.261479 2.98753 0.575625
12.75 5.2 0.26125 2.98754 0.575627
12.75 5.2 0.261031 2.98754 0.575628
12.75 5.2 0.260807 2.98755 0.57563
12.75 5.2 0.260582 2.98756 0.575632
12.75 5.2 0.260358 2.98756 0.575633
12.75 5.2 0.260133 2.98757 0.575635
12.75 5.2 0.259907 2.98757 0.575636
12.75 5.2 0.259682 2.98758 0.575638
12.75 5.2 0.25945 2.98759 0.57564
12.75 5.2 0.25923 2.98759 0.575641
12.75 5.2 0.253523 2.9887 0.575936
12.75 5.2 0.233277 2.99082 0.576473
12.75 5.2 0.213516 2.99295 0.576968
12.75 5.2 0.18811 2.99512 0.577425
12.75 5.2 0.147847 2.99745 0.57784
12.75 5.2 0.106617 2.99979 0.578161
12.75 5.2 0.0674673 3.00214 0.578387
12.75 5.2 0.0306461 3.00429 0.57851
12.75 5.2 0.00757989 3.00517 0.578536
12.75 5.2 -0.0256497 3.0071 0.578528
12.75 5.2 -0.065509 3.01138 0.57836
12.75 5.2 -0.105404 3.01569 0.578017
12.75 5.2 -0.142849 3.02274 0.577158
12.7 5.2 -0.166551 3.03426 0.575373
12.7 5.2 -0.169363 3.05093 0.572537
12.75 5.2 -0.169477 3.07062 0.569169
12.75 5.2 -0.16739 3.09234 0.565453
12.75 5.2 -0.196241 3.11688 0.561127
12.8 5.2 -0.20528 3.14967 0.554382
12.8 5.2 -0.204045 3.18914 0.546167
12.85 5.2 -0.195191 3.23144 0.53745
12.85 5.2 -0.165896 3.27446 0.529352
12.9 5.15 -0.11164 3.31738 0.523055
12.9 5.15 -0.051614 3.36066 0.519238
13.05 5.15 0.00732509 3.40405 0.51801
13.05 5.15 0.0690156 3.44747 0.51936
13.1 5.15 0.128878 3.49075 0.523317
13.1 5.15 0.189752 3.53363 0.529847
13.2 5.15 0.252607 3.57609 0.538987
13.2 5.15 0.330501 3.6247 0.553251
13.3 5.15 0.413775 3.65811 0.566038
13.3 5.15 0.513443 3.69692 0.584695
13.4 5.15 0.612029 3.73371 0.607139
13.4 5.15 0.691219 3.76819 0.632902
13.5 5.2 0.741361 3.80116 0.66128
13.5 5.2 0.781627 3.83288 0.691126
13.5 5.2 0.817275 3.86342 0.722287
13.55 5.25 0.825407 3.89329 0.754398
13.55 5.25 0.825985 3.9231 0.786707
13.65 5.35 0.825176 3.9529 0.819014
13.65 5.35 0.810046 3.9829 0.85123
13.7 5.4 0.788894 4.01357 0.883011
13.7 5.4 0.769701 4.04486 0.914119
13.75 5.45 0.708002 4.07199 0.939869
13.75 5.45 0.619648 4.08108 0.94729
13.8 5.5 0.619755 4.08129 0.947438
13.8 5.5 0.619942 4.08128 0.947432
13.8 5.55 0.620128 4.08127 0.947424
13.8 5.55 0.620321 4.08126 0.947417
13.8 5.55 0.620513 4.08125 0.94741
13.8 5.55 0.62071 4.08124 0.947404
13.8 5.55 0.620898 4.08123 0.947395
13.8 5.55 0.621096 4.08122 0.947388
13.8 5.55 0.621285 4.08121 0.947381
13.8 5.55 0.621478 4.0812 0.947375
13.8 5.55 0.621672 4.08119 0.947368
13.8 5.55 0.621865 4.08118 0.947361
13.8 5.55 0.622058 4.08117 0.947353
13.8 5.55 0.622252 4.08116 0.947346
13.8 5.55 0.622445 4.08115 0.947339
13.8 5.55 0.622638 4.08114 0.947332
13.8 5.55 0.622831 4.08113 0.947325
13.8 5.55 0.623018 4.08112 0.947317
13.8 5.55 0.607151 4.08122 0.947393
13.8 5.55 0.587362 4.08135 0.947488
13.8 5.55 0.532742 4.08165 0.947688
13.8 5.55 0.438636 4.08247 0.948161
13.8 5.55 0.310059 4.08534 0.949289
13.8 5.55 0.169904 4.09153 0.950795
13.8 5.55 0.0296852 4.09875 0.951534
13.8 5.55 -0.109693 4.10567 0.951319
13.8 5.55 -0.227865 4.11749 0.949502
13.8 5.55 -0.329865 4.13586 0.94429
13.8 5.55 -0.39973 4.15588 0.936557
13.8 5.55 -0.485533 4.18221 0.924153
13.85 5.55 -0.591418 4.21325 0.905568
13.85 5.55 -0.683468 4.24484 0.882169
13.9 5.55 -0.759578 4.277 0.853943
13.9 5.55 -0.839635 4.3082 0.821903
13.95 5.5 -0.908154 4.33669 0.7878
13.95 5.5 -0.9449 4.36322 0.75228
