x_slam y_slam yaw_imu x_odom y_odom
4.5 4.5 0 0 0
4.5 4.5 -3.05129e-06 -2.00002 -0.5
4.5 4.5 -1.24392e-06 -2.00002 -0.499999
4.5 4.5 5.6356e-07 -2.00002 -0.499999
4.5 4.5 2.37106e-06 -2.00002 -0.499999
4.5 4.5 4.17859e-06 -2.00002 -0.499999
4.5 4.5 5.98615e-06 -2.00002 -0.499999
4.5 4.5 7.79373e-06 -2.00002 -0.499999
4.5 4.5 9.60134e-06 -2.00002 -0.499999
4.5 4.5 1.1409e-05 -2.00002 -0.499999
4.5 4.5 1.32166e-05 -2.00002 -0.499999
4.5 4.5 1.50243e-05 -2.00002 -0.499998
4.5 4.5 1.6832e-05 -2.00002 -0.499998
4.5 4.5 1.86398e-05 -2.00002 -0.499998
4.5 4.5 2.04475e-05 -2.00002 -0.499998
4.5 4.5 2.22553e-05 -2.00002 -0.499998
4.5 4.5 2.40631e-05 -2.00002 -0.499998
4.5 4.5 2.58709e-05 -2.00002 -0.499998
4.5 4.5 2.76788e-05 -2.00002 -0.499998
4.5 4.5 2.94867e-05 -2.00002 -0.499998
4.5 4.5 3.12946e-05 -2.00002 -0.499997
4.5 4.5 3.31025e-05 -2.00002 -0.499997
4.5 4.5 3.49105e-05 -2.00002 -0.499997
4.5 4.5 3.67185e-05 -2.00002 -0.499997
4.5 4.5 3.85717e-05 -2.00002 -0.499997
4.5 4.5 4.03345e-05 -2.00002 -0.499997
4.5 4.5 4.21426e-05 -2.00002 -0.499997
4.5 4.5 4.39507e-05 -2.00002 -0.499997
4.5 4.5 4.57588e-05 -2.00002 -0.499997
4.5 4.5 4.76121e-05 -2.00002 -0.499996
4.5 4.5 4.93751e-05 -2.00002 -0.499996
4.5 4.5 5.11833e-05 -2.00002 -0.499996
4.5 4.5 5.29915e-05 -2.00002 -0.499996
4.5 4.5 5.47997e-05 -2.00002 -0.499996
4.5 4.5 5.6608e-05 -2.00002 -0.499996
4.5 4.5 5.84162e-05 -2.00002 -0.499996
4.5 4.5 6.02245e-05 -2.00002 -0.499996
4.5 4.5 6.20329e-05 -2.00002 -0.499995
4.5 4.5 6.38412e-05 -2.00002 -0.499995
4.5 4.5 6.56496e-05 -2.00002 -0.499995
4.5 4.5 6.7458e-05 -2.00002 -0.499995
4.5 4.5 6.92665e-05 -2.00002 -0.499995
4.5 4.5 7.10749e-05 -2.00002 -0.499995
4.5 4.5 7.28834e-05 -2.00002 -0.499995
4.5 4.5 7.46919e-05 -2.00002 -0.499995
4.5 4.5 7.65005e-05 -2.00002 -0.499995
4.5 4.5 7.8309e-05 -2.00002 -0.499994
4.5 4.5 8.01176e-05 -2.00002 -0.499994
4.5 4.5 8.19262e-05 -2.00002 -0.499994
4.5 4.5 8.37348e-05 -2.00002 -0.499994
4.5 4.5 8.55435e-05 -2.00002 -0.499994
